Name,URL,Scientific name,Description,Habitat,Diet
Cheetah,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351453/Cheetah_t6dddm.png,Acinonyx jubatus,"There are five subspecies of this big cat. It is slim and has muscular, long legs — in relation to its body size when compared to other cats — a small, rounded head that is set on a long neck, a flexible spine, a deep chest, special pads on its feet for traction, and a long tail for balance. It is also the only cat that cannot retract its claws, an adaptation to help maintain traction like a soccer player’s cleats. It also bears distinctive black “tear tracks” running from the inside corner of each eye to the mouth that may serve as an anti-glare mechanism for daytime hunting.",Wide range of habitats—from dry forests and thick scrubs through grasslands and Sahara deserts.,Carnivores
Chimpanzee,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351454/Chimpanzee_rplphp.png,Pan troglodytes,"There are four subpopulations of the chimpanzee — the western chimp, the Nigeria-Cameroon chimp, the central chimp, and the eastern chimp. This great ape is one of our closest relatives, sharing about 98 percent of their genes with us. They have thickset bodies with short legs, opposable thumbs, no tails, and long arms that are 1.5 times their height that extends beyond their knees. Much of their body is covered with long black hair, but the face, ears, fingers, and toes are bare.","Forests, lowland forests, swamp forests, savanna woodland",Omnivorous
Colobus Monkey,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351455/Colobus_Monkey_ndrevy.png,Angolan black-and-white colobus (Colobus angolensis) <br /> Eastern black-and-white colobus (Colobus guereza),"The name “colobus” is derived from the Greek word for “mutilated,” because unlike other monkeys, colobus monkeys do not have thumbs. Their beautiful black fur strongly contrasts with the long white mantle, whiskers, bushy tail, and beard around the face. The Eastern black-and-white is distinguishable by a U-shaped cape of white hair running from the shoulders to lower back, whereas the Angolan black-and-white has white hairs flaring out only at the shoulders.","Lowland, montane forests, and gallery forests",Herbivorous
Dik-Dik,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351455/Dik-Dik_l8mjlw.png,Madoqua kirkii,"Kirk’s dik-diks are tiny antelopes that vary in color depending on their habitat but are typically yellowish-gray to reddish-brown on its back and grayish-white on their belly. Males have horns that are ringed and stout at the base, which are often concealed by a tuft of hair on their forehead. These antelopes have beautiful, large, dark eyes surrounded by a white ring. And while their eyes are stunning, they provide more than just sight. Preorbital glands appear as a black spot below the inside corner of each eye. These glands produce a dark, sticky secretion used to scent-mark their territories.  The most distinguishing feature is their elongated snout, which is also an evolved cooling mechanism that stops them from overheating, even in extreme temperatures of up to 40°C (104°F). This also helps minimize their need for water.","Ranges from arid, dense thorn scrub to thickets and open woodland, riverine woodlands, and open plains.",Herbivorous
Duiker,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351456/Duiker_e4inhk.png,Blue duiker (Cephalophus monticla); Yellow-backed duiker (Cephalophus silvicultor); Bush duiker (Sylvicapra grimmia),"A striking peculiarity of the duikers in the genus Cephalophus is that they all have the same distinctive body type, although the different species vary in size. They have low-slung bodies on slender legs, wedge-shaped heads topped by a crest of long hair, and relatively large eyes. With their heads held close to the ground, these small antelopes can move easily through the dense vegetation of forests and bushlands. They regularly run through these areas and when disturbed, plunge into thick cover to hide. This trait is the source of the name “duiker,” which in Dutch means “diver.”  Environment and habitat can influence the overall body shape and coloration of animals. Thus, the duiker living in open habitat is longer-legged, less hunchbacked, and lighter in color (tawny or gray) than the species that inhabit the dense, dark forests.  The bush duiker is represented by only one species known as the common or Grimm’s duiker. This is the most widely distributed of the species in East Africa and is found in a large range of habitats at different elevations, but never in the deep forest. Unlike the forest species, the bush duiker has longer legs and can run fast for long distances. All duikers freeze and crouch to escape detection. They have dark, glossy coats and tails that have white hair that contrasts with the dark body. The tail is constantly in motion with each movement looking like a tiny torch being switched on and off in the forest gloom.  Male and female forest duikers are about the same size, and both have horns. Their horns are small and spike-like, lying so flat against the head that they are not too useful in fighting. Bush duiker females are larger than males, but they usually do not have horns.  The smallest of the species is the blue duiker, which in East Africa is found in Uganda, western Kenya, and parts of Tanzania. The largest is the yellow-backed duiker, which ranges across the whole of the African tropical forest block. Populations of the yellow-backed duiker are also found on Mt. Elgon and the Mau in Kenya. This duiker reaches up to 88 centimeters (35 inches) in height and 80 kilograms (175 pounds) in weight. It has distinctive, long whitish-yellow to orange hair that stands erect on the back.","Forests, coastal scrublands, farmland, and bush",Omnivorous
Dwarf Mongoose,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351457/Dwarf_Mongoose_blqvat.png,Helogale parvula (Common dwarf mongoose) Helogale hirtula (Somali/Desert dwarf mongoose),"As the name would imply, this species is the smallest of the African mongooses. There are two species: the common dwarf and the desert dwarf. They are stocky, with a fairly short, pointed muzzle and a long, fluffy tail. Their fur color varies but they are usually speckled brown, reddish, or greyish in color.","Forests, open woodlands, thickets, wooded savannahs, semi-arid areas. Wherever there are termites, rock outcroppings, or trees.",Carnivorous
Eland,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351447/Eland_zzjstq.png,Tragelaphus oryx,"The cow-like eland is the world’s largest antelope. However, it has the endurance to maintain a trot indefinitely and can jump a 1.5 meter (4 feet) fence from a standstill. Both males and females have horns that spiral tightly, though female horns tend to be longer and thinner. Usually fawn or tawny-colored, they turn gray or bluish-gray as they get older; the oldest animals become almost black. A tuft of black hair grows out of the male’s prominent dewlap, the loose fold of skin that hangs down from the neck. Adult males also have a mat of hair on the forehead that grows longer and denser as the animal ages.","Open plains, sub-desert, savanna, and woodlands",Herbivorous
Elephant,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351448/Elephant_qoi3bj.png,Loxodonta africana,"They are the world’s largest terrestrial mammal. There are two recognized subspecies of this iconic animal: bush (or savanna) and forest. African bush elephants are the larger of the two and their tusks curve out, while their forest-dwelling cousins are darker and have tusks that are straighter and that point downward.","Open and closed savanna, grasslands, and arid deserts",Herbivorous
Elephant Shrew,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351448/Elephant_Shrew_ukdfwx.png,Rhynchocyon cirnei,"Elephant shrews are not, in fact, shrews. Recent evidence suggests that they are more closely related to a group of African mammals that includes elephants, sea cows, and aardvarks. Elephant shrews (also called sengis) are represented by a single family, the Macroscelididae, including four genera and 19 living species.  They take their name from their long pointed head and very long, mobile, trunk-like nose. They have rather long, legs for their size, which move in a hopping fashion like rabbits. They have a hunchbacked posture and a long, scaly tail. A gland on the underside of the tail produces a strong scent used to mark territories. This musky smell serves as a deterrent against many carnivores.",Dense forest to open plains,Insectivorous
Ethiopian Wolf,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351449/Ethiopian_Wolf_s3iori.png,Canis simensis,"Native to Ethiopia, these long-limbed, slender canids are some of the most endangered animals in Africa. They have a black, bushy tail that can reach up to 40 centimeters in length, pointed ears, and a slender snout. They are tawny red with a white underbelly and blaze on their chests, and also have white fur on their throats, which sweeps up and covers the underside of their muzzle. The female wolves tend to be paler in color than males and are smaller overall.","Afro-alpine grasslands, rocky areas, and shrublands",
Fischer's Lovebird,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351450/Fischer_s_Lovebird_trzujx.png,Agapornis fischeri,"The brightly colored small parrot — named after Gustav Fischer — was discovered in the 19th century. Females and males are identical in appearance and do not exhibit sexual dimorphism. They have a green back, chest, and wings. The bird’s neck is golden yellow to orange color, which deepens into a deeper orange-red on its face. The lovebird’s beak is red, and the top of the head is olive green. It may also have blue or purple-colored plumage on the tail. The remainder of the body is a vibrant green.","Grasslands, semi-arid woodlands, and savannas",Mostly granivorous
Forest Elephant,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351450/Forest_Elephant_ghadir.png,Loxodonta cyclotis,"Long considered to be a subspecies of the African elephant, the African forest elephant is now considered by many scientists to be its own species — separate from the African savanna or bush elephant. They are smaller than the better-known savanna elephant, have tusks that are straight and point downward, unlike the savanna elephants curved tusks. Bulls sometimes have tusks that almost reach the ground. They have rounded ears while the savanna elephant’s ears are more pointed. This species of the African elephant also has five toenails on each forefoot and four on its hind feet — more similar to that of the Asian elephant.","Lowland, tropical rainforests",Herbivorous
Gelada,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351451/Gelada_qu2ekl.png,Theropithecus gelada,"The gelada is often referred to as the gelada baboon and the bleeding-heart baboon but is not a true baboon. These brown and grey primates are Old World monkeys that do bear some similarities to baboons. Twice the size of females, males are as big as a large dog and are equipped with vampiric canines, which they often bare at each other as a display of dominance or aggression. Both sexes have large, fluffy manes, as well as distinct, hourglass-shaped, bald patches of skin on their chests. They also have the most opposable index fingers and thumbs than any other primate.","Mountain grasslands, mountains",Omnivorous
Genet,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351452/Genet_rybmgg.png,"Common genet (Genetta genetta), Large-spotted genet (Genetta tigrina), Bourlon’s genet (Genetta bourloni), Forest genet (Genetta servalina), Cape genet (Genetta tigrina), etc","Genets are long, lean carnivores that appear catlike with a tail usually as long as (if not longer than) the body. There are approximately 14 species identified all of which vary in appearance and habitat. The small-spotted genet, found in more arid regions, is recognized by a prominent dorsal crest running from shoulder to tail. Its spots are round and elongated. The forest genet lacks a dorsal crest and has a coat with spaced-out, elongated spots. The large-spotted genet has a smaller dorsal crest than its small-spotted relative and is the most widely distributed of the three species. All species have retractable claws adapted to climbing and catching prey.",Various,Omnivorous
Gerenuk,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351452/Gerenuk_fy8zag.png,Litocranius walleri,"The gerenuk, whose name means “giraffe-necked” in Somali, is an exceptionally long-necked antelope. Their head is small for their size, but their eyes and ears are large. Only the males have horns, which are stout and heavily ringed, and they have a more heavily muscled neck than the females do. They have a coat that is brown on the upper back and lighter on the sides. The short tail looks longer as it ends in a tuft of black hair. Like many other gazelles, these large antelopes have preorbital glands in front of the eyes that emit a tar-like, scent-bearing substance they deposit on twigs and bushes to mark their territory. They also have scent glands on their knees that are covered by tufts of hair and between their split hooves.",Woodland forest to open plains,Herbivorous
Giraffe,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351453/Giraffe_ozu6w6.png,Giraffa camelopardalis,"They are the world’s tallest mammals. They are uniquely adapted to reach vegetation inaccessible to other herbivores. Unusually elastic blood vessels and uniquely adapted valves help offset the sudden buildup of blood (to prevent fainting) when giraffes’ heads are raised, lowered, or swung quickly. Their ""horns"" are actually knobs covered with skin and hair above the eyes that protect the head from injury. Their necks contain the same amount of vertebrae as we do (seven) except their bones are extremely elongated making their neck a long length of 2.4 meters.",Dense forest to open plains,Herbivorous
Grant's Gazelle,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351454/Grant_s_Gazelle_syjwn7.png,Nanger granti,"There are three subspecies of Grant’s gazelle. This species of gazelle resemble Thomson's gazelles but are noticeably larger and easily distinguished by the broad white patch on the rump that extends upward onto the back. The white patch on the Thomson's gazelle stops at the tail. Some varieties of Grant's have a black stripe on each side of the body like the Thomson's, but all have a black stripe that runs down the thigh. In others, the stripe is very light or absent. Their lyre-shaped horns are stout at the base, clearly ringed and measuring 50 to 80 centimeters long (20 to 31 inches). Females have black skin surrounding the teats with white hair on the udder. This probably helps the young recognize the source of milk. When a fawn is older and moving about with its mother, the dark stripe on the white background may serve as a beacon for it to follow.","Open grass plains, montane grasslands, subdesert, lowland thornbush, and savanna woodland",Herbivorous
Grevy's Zebra,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351454/Grevy_s_Zebra_gmdset.png,Equus grevyi,"The long-legged, endangered Grevy’s zebra is the largest of the wild equids. It is distinguished by its unique stripes, which are as distinctive as human fingerprints. Foals are brown with reddish-brown stripes, and gradually their coats darken to black. The Grevy’s are more closely related to the wild ass than the horse, while the plains zebra is more closely related to the horse. Grevy’s also are taller, have larger ears, and have narrower stripes than plains zebras. They are the largest of the zebra species.",Grasslands and savannas,Herbivorous
Hartebeest,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351455/Hartebeest_agzsnt.png,Alcelaphus buselaphus,"The hartebeest is a large, fawn-colored antelope. Their most distinctive characteristics are a steeply sloping back, long legs, and elongated snout. Despite their ungainly appearance, they are as elegant, if not more than, other antelopes. They are one of the most recent and highly evolved ungulates and are far from clumsy. In fact, they are one of the fastest antelopes and most enduring runners — capable of reaching speeds of up to 70 km/h. These qualities gave rise to their name, which means “tough ox.” Their sedentary lifestyle seems to inhibit the mixing of populations and gene flow, and as a result, there are several subspecies of hartebeest.",Open plains and grassland,Herbivorous
Hedgehog,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351456/Hedgehog_agl91w.png,Atelerix albiventris,"They are a small mammal with short limbs and a body low to the ground. Their most distinctive characteristic is the thousands of stiff, sharp spines — harder and sharper than those of a porcupine — that cover the animal’s back and sides, like a pincushion filled with needles.",A variety of climates and terrains; savanna and grassy areas with light undergrowth.,Insectivorous
Hippopotamus,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351457/Hippopotamus_rtg5fp.png,Hippopotamus amphibius: Common Hippo; Choeropsis liberiensis: Pygmy Hippo,"There are two species of hippos — the large/common hippo and the smaller relative, the pygmy hippo. Hippos are the third-largest living land mammal, after elephants and white rhinos. Despite their large and bulky appearance, they have adaptations to their semi-aquatic environments allowing them to move swiftly on both water and land. Their feet have four-webbed toes that splay out to distribute weight evenly and therefore adequately support them on land, and their short legs provide powerful propulsion through the water. The pygmy hippos digits are more spread out and have less webbing and, proportionally, their legs are longer relative to its body size. They both have skin tones of purple-gray or slate color, with brownish-pink coloring around their eyes and ears. They have very thick skin that is virtually hairless except for the thick bristle-like hair on their heads and tails. The outer layers of skin are quite thin, making them prone to wounds from fighting. Their flat, paddle-like tail is used to spread excrement, which marks territory borders and indicates status of an individual. Their powerful jaws are capable of opening up to 150 degrees revealing their enormous incisors.","Wetlands, rivers, and swamps",Herbivorous
Hyena,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351458/Hyena_cihldg.png,"Crocuta crocuta (spotted hyena), Hyaena hyaena (striped hyena), Parahyaena brunnea (brown hyena)","The hyena (spelled “hyaena” in some parts of the world) is Africa’s most common large carnivore. There are three hyena species — spotted, brown, and striped. Spotted hyenas are the largest of the three. They are fairly large in build and have relatively short torsos with lower hindquarters, and sloping backs. They have excellent night-time vision and hearing.","Savannas, grasslands, woodlands, forest edges, sub deserts and mountains up to 4,000 meters (13,000 feet)",Carnivorous
Hyrax,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351459/Hyrax_ju3unk.png,"Rock hyrax (Procavia capensis), Yellow-spotted hyrax (Heterohyrax brucei), Tree hyrax (Dendrohyrax dorsalis), Bush hyrax (Heterohyrax brucei)","The hyrax is also called rock rabbit or dassie, is a small furry mammal. It looks like a robust, oversized guinea pig, or a rabbit with rounded ears and no tail. Hyraxes have stumpy toes with hoof-like nails; and four toes on each front foot and three on each back foot. The longer, claw-like nails on the inside toes and the back feet are used for grooming and scratching. The bottoms of the feet have a rubbery texture to assist in climbing steep rock surfaces and trees.  Of the three hyrax species, two are known as rock (or bush) hyrax, and the third as tree hyrax. In the field, it is sometimes difficult to differentiate among them.  The rock hyrax has the widest distribution in East Africa. Its coat is yellowish — or grayish-brown — and the dorsal spot (a bare scent gland on the back covered with longer hair) is covered with black or yellow hair. Its head is more rounded than other types of hyraxes, and the nose is blunt.  The yellow-spotted hyrax, or rock rabbit, is smaller in size and has a more pointed, rodent-like nose. Generally, it has a conspicuous white patch over the eye, and its dorsal spot is whitish or yellowish. It is sometimes seen in the company of other types of hyrax, but species do not interbreed.  Tree hyraxes, unsurprisingly, spend a lot of time in trees. In some areas, they are hunted for their thick, soft, long hair. They have a white or yellow dorsal spot.",Dry savanna to dense rainforest to rocky outcrops,Herbivorous
Impala,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351459/Impala_uii5g8.png,Aepyceros melampus,"The impala is reddish-brown with white hair inside the ears, over each eye and on the chin, upper throat, underparts, and buttocks. A narrow black line runs along the middle of the lower back to the tail, and a vertical black stripe appears on the back of each thigh. Impalas have unique brush-like tufts of black hair that cover a scent gland located just above the heel on each hind leg. The female is similar to the male but does not have horns. The male's graceful lyre-shaped horns are about 40 to 90 centimeters long.","Savannas, grasslands, shrubland, and light woodlands",Herbivorous
Jackal,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351460/Jackal_yvseju.png,"Common jackal (Canis aureus), Side-striped jackal (Canis adustus), Black-backed jackal (Canis mesomelas)","The three species differ mainly in color and choice of habitat. The sandy-colored golden jackal prefers open, grassy plains, while the side-striped jackal lives along waterways with dense undergrowth and is drabber in color, has a white tip on the tail, and had indistinct stripes along the sides of the body. The black-backed jackal is recognized by the mantle of black hair on the back that contrasts with the rust-colored body. The tail is black­-tipped, as is that of the golden jackal. The black-backed jackal is usually the most frequently seen, as it is more diurnal than the other two species.","Open and wooded savanna, semi-desert, grasslands, shrubland",Omnivorous
Kob,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351460/Kob_lygqss.png,Kobus kob,"This antelope is similar in appearance to the impala, but the two species are not related. The Ugandan kob generally is reddish-brown, but other subspecies range from light brown to almost black. The underside of the body is white, a white ring appears around each eye, and a white patch or chevron appears on the throat; a black stripe runs down the front of each foreleg. Horns occur only in males and though lyre-shaped, they are shorter, thicker, and ringed almost to the tip.","Grasslands, floodplains, or savanna woodlands",Herbivorous
Kudu,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351460/Kudu_yd9kv5.png,"Greater kudu (Tragelaphus strepsiceros), Lesser kudu (Tragelaphus imberbis)","Both the greater kudu and its close cousin, the lesser kudu, have stripes and spots on the body, and most have a chevron of white hair between the eyes. Males have long, spiral horns. The greater kudu's horns are spectacular and can grow as long as 1.8 meters (about 6 feet), making 2-1/2 graceful twists.  Female greater kudus are noticeably smaller than the males. By contrast, lesser kudus are even smaller — about 90 centimeters at the shoulder. Males can weigh up to 105 kilograms (230 pounds), and females generally weigh about 22 kilograms less. Lesser kudus have smaller horns than their larger cousins and have conspicuous white patches on the upper and lower parts of the neck. Although both species are bluish-gray, grayish-brown, or rust color, the lesser kudus have five to six more lateral white stripes, for a total of 11 to 15. Both species have a crest of long hair along the spine, and greater kudus also have a fringe under the chin.",Dense brush or forest,Herbivorous
Leopard,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351460/Leopard_rgwgfl.png,Panthera pardus,"These large carnivores are powerfully built with long bodies, relatively short legs, and a broad head. There are nine subspecies and are distinguished by the unique characteristics of their coats, which range from tawny or light yellow in warm, dry habitats to reddish-orange in dense forests. Their coat is covered in dark, irregular spots called rosettes. These spots are circular in east African leopards, but square in southern African leopards.","Desert and semi-desert regions, arid regions, savanna grasslands, mountainous environments, rainforests, and occasionally urban areas.",Carnivorous
Lesser Bush Baby,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351460/Lesser_Bush_Baby_xu46m1.png,Galago senegalensis,"The lesser galago, also called the lesser bush baby, is one of the smallest primates, about the size of a squirrel. Their plaintive cries and cute appearance may account for the name ""bush baby. They have large, round eyes for good night vision and bat-like, delicate ears that enable them to track insect prey in the dark. As they jump through thorn bush or thick growth, they fold the ears flat against their heads to protect them. They fold them during rest, too.",Woodlands and bushlands,Omnivorous
Lion,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351461/Lion_edgphn.png,Panthera Leo,"It is the second-largest living big cat after the tiger. Males are unique among the cat species for their thick mane of brown or black hair encircling their head and neck. The mane darkens with age, and the thicker and darker a mane is the healthier the cat. Both males and females roar — a sound heard as far as 8 kilometers away.",Grassy plains and open woodlands,Carnivorous
Mountain Gorilla,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351464/Mountain_Gorilla_tl3kwi.png,Gorilla beringei ssp. Beringei,"This great ape is one of two subspecies of the eastern gorilla and one of the world's largest living primates. These apes have muscular arms, a massive chest, and broad hands and feet — and they have longer hair and shorter arms than their lowland cousins. Their thick black hair helps insulate them from cold weather.","Dense forest, rainforest, bamboo forest, mixed forest, subalpine grassland on the volcanic peaks",Herbivorous
Oryx,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351464/Oryx_gf5vht.png,Oryx gazella,"There are four species of oryx living in Africa and the Middle East. They are large antelopes with long, spear-like horns — with the Gemsbok (Oryx gazella) being the largest of the oryx species. They are a true desert animal, with a thick, horse-like neck; a short mane; and a compact, muscular body. A defined pattern of black markings that contrast with their white face and fawn-colored body are prominently displayed during dominance rituals to emphasize the length of their horns and the strength of their shoulders.",Dry plains,Herbivorous
Ostrich,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351464/Ostrich_asm1ei.png,Struthio camelus (Common ostrich); Struthio molybdophanes (Somali ostrich),Semiarid plains and woodlands,Semiarid plains and woodlands,Omnivorous
Pangolin,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351465/Pangolin_io1pn5.png,African White-Bellied (Phataginus tricuspis) Giant Ground (Smutsia gigantea) Ground (Smutsia temminckii) Black-Bellied (Uromanis tetradactyla),"Despite its scaly appearance, this species is a mammal, not a reptile. Its scales are actually made up of keratin, which accounts for about 20 percent of its weight. It has a small head and a long, broad tail. It has no external ears, but its hearing is quite good. It also has no teeth and instead possesses a gizzard-like stomach that is specially adapted for grinding food. To assist the grinding, this scaly creature consumes small stones and sand.","Species dependant: Dense forest, forested savannas, swamp forests, lowland forests, and floodplain grasslands. All species are never far from a water source.",Insectivorous
Porcupine,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351464/Porcupine_qw4spn.png,Hystrix cristata (Crested Porcupine); Atherurus africanus (African Brush-tailed Porcupine); Hystrix africaeaustralis (Cape Porcupine),"The word porcupine means “quill pig” in Latin; however, porcupines are large rodents and have no relation to pigs. Porcupines are the largest and heaviest of all African rodents. The head is roundish and rather domed, with a blunt muzzle and small eyes and ears. The legs are short and sturdy, and each foot has five toes, all equipped with powerful claws. Their most recognizable feature is, of course, its quills. Quill length varies on different parts of the body, ranging from 2.5 to 30.5 centimeters (1 to 12 inches). Usually, the quills lie flat against the body, but if danger threatens, they raise and spread them. Scales on quill tips lodge in the skin like fishhooks and are difficult to pull out. New quills grow in to replace lost ones.","Hilly, rocky country, woodland savanna",Herbivorous
